year,count,article
1970,36,Judging Art by Gender?; Art by Gender?
1971,21,Nilsson and Brilioth Buoy Met's 'Tristan'
1972,37,500 in the U. S. Change Sex In Six Years With Surgery; 500 Change Sex in Six Years With Surgery; Hundreds Waiting
1973,36,SEX DISCRIMINATION HELD EASIER TO CURB
1974,56,Women Smokers: What Does Gender Have to Do With Problem?; Asked to Leave
1975,50,Gender Gap; The Last Word
1976,38,Lawyers Cite Precedents for Gender of 'Esquire'; Should Apply to All Chivalry as Precedent A Case for Tradition
1977,62,Platform Tennis
1978,63,Many Questions of Gender; Sand Author's Query
1979,74,Books of The Times; Saved From Seriousness' The Possible Versus Actual
1980,142,Gender Justice
1981,77,On Language; IN DEFENSE OF GENDER
1982,93,WHAT GENDER GAP?
1983,166,CORRECTION
1984,253,A Gender Gap
1985,145,Gender Tenders
1986,174,LIBERTY AND AUTONOMY FOR ALL
1987,184,AIDS SPECTER FOR WOMEN: THE BISEXUAL MAN
1988,223,CBGB Quadruple Bill
1989,215,Mind Blowing
1990,262,Gender Messages
1991,263,Gender Perfect
1992,310,The Gender Chronicles
1993,375,Where Are The Cukors?
1994,365,"Hey, You Still Just Don't Understand"
1995,320,BOOKS IN BRIEF: NON FICTION
1996,389,Culture and Its Discontents
1997,439,Books in Brief: Nonfiction
1998,500,White Male Privilege
1999,516,On Gender Identity
2000,589,"Among Men, It's Bush the Maserati by a Mile"
2001,456,Modern Field Out of Balance
2002,496,Weblogs and Gender
2003,485,Homme Alone
2004,517,Online Teenage Gender Gap
2005,554,Officers Appointed at A.I.G.
2006,769,"Men Not Working, and Not Wanting Just Any Job"
2007,815,"Gender at Play "
2008,1016,A Gender Post-Script
2009,1059,Gender Disappointment
2010,1145,Of Science and Gender (1 Letter)
2011,1129,A Naked Man Can Be a Difficult Problem Onstage
2012,1353,Sarah Wong's Portraits of Dutch Transgendered Children
2013,1396,If Only All Our Cover Stories Could Inspire Music Videos This Awesome
2014,2415,"For Stanford Class of 1994, New Worlds, New Gender Gaps: Reporter's Notebook"
