year,count,article
1960,2,"The Cuban Riddle: A British View; At first, a visitor notes, one may feel anti-American, then anti-Communist, and finally suspect that Cuba is less an echo of either force than a phenomenon all her own. The Cuban Riddle: A British View"
1961,0,
1962,4,Art: The Journey of an Unusual Mind; Torres-Garcia Show at Royal S. Marks
1963,1,"What Would Queen Victoria Say?; Symbol of strict moral rectitude, she definitely would not have been amused by the Profumo affair, but she might not have been so surprised as one might think. What Would Queen Victoria Say?"
1964,1,Marchers Under the Red Banner
1965,1,SPEAKING OF BOOKS: John Horne Burns; Burns
1966,2,New Books for the Young Reader; Young Reader
1967,0,
1968,1,"Miami Beach, The All-Too-American City; Miami Beach"
1969,4,"They Love Culture in Dublin, Mr. Rooney"
1970,4,Reader's Report
1971,5,Isaac Newton Revival Seeks Clues to Tortured Scientist's Genius; Worldwide Revival of Isaac Newton Studies Seeks Clues to Origins of the Tortured Scientist's Genius
1972,2,"The Shadow of an Airplane Climbs the Empire State Building; A World of Theory of Film. By Parker Tyler. 248 pp. New York: Doubleday & Co. $7.95. American Film Criticism From the Beginning to Citizen Kane. Edited by Stanley Kauffmann with Bruce Henstell. 443 pp. New York: Liveright. Cloth, $12. Paper, $3.95. Authors on Film Edited by Harry Geduld. 303 pp. Bloomington: Indiana University Press. $5.95. Film"
1973,1,From a Pink A to a Violet Z; ZOX'S COLOR
1974,1,Letters to the Editor; Nixon Administration: 'The Basic Defect' Energy: An Opportunity The U.S. Must Pass Up Spain: Scholar's Protest Of Hypocrisy and Blackmail City Merit System: A 'Welcome Back' Role of Board of Ethics The Strip-Miners' Threat
1975,4,For Walker Percy man is the naming animal
1976,5,Books of The Times; Seven Fates for Seven Sisters
1977,4,CHILDREN'S BOOKS
1978,1,"Alley, Legend Still: How About That?; Mel Allen, Legend Still: How About That?"
1979,1,The Fiction of a Scientist
1980,4,Loyal Sister; Sister
1981,0,
1982,2,THE SMART PUT HEADS TOGETHER IN JERSEY
1983,1,THE BASEBALL SLUMP AND HOW TO SHAKE IT
1984,1,BOOKS OF THE TIMES
1985,3,THE WRITER: IN HIS OWN WORDS
1986,1,THE RAJIV GENERATION
1987,0,
1988,1,New & Noteworthy
1989,2,Lessons
1990,0,
1991,3,The Future of the Novel: A View From the Eight-Seated Spaceship
1992,0,
1993,7,Proclivities of Criticism
1994,5,Designing a Framework for Diversity
1995,7,Back to Basics
1996,3,An Incoherent Mob?
1997,2,Study of Sex Experiencing 2d Revolution
1998,7,'Queer Theory' Is Entering The Literary Mainstream
1999,4,Sex and Our Schools; Too Much Tolerance
2000,4,The Gay White Way
2001,9,Word for Word/Bill-and-Monica Studies; Trash Tropes and Queer Theory: Decoding the Lewinsky Scandal
2002,3,The Hall of Fame
2003,4,And Bear In Mind
2004,6,Eggheads' Naughty Word Games
2005,24,Plumbing Depths of Past To Unearth The Heart
2006,11,Big People on Campus
2007,6,Feminist Art Finally Takes Center Stage
2008,6,When Girls Will Be Boys
2009,9,Lit Critics Who Peer Under the Covers
2010,7,When ‘Poison’ Was a Cinematic Antidote
2011,13,The Old Order Changeth
2012,10,Opening a Door
2013,11,"Queer Theory May Not Have a Beat, but Academicians Can Still Dance to It"
2014,28,"In a Daze, Reaching for Clarity"
