year,count,article
1939,16,Letters to the Sports Editor; 'OFFENSIVE PATERNALISM' Racing Officials' Ideas on High Admission Fees Are So Viewed
1940,26,Letters to The Times; More Paternalism Seen Wagner-Lea Bill Held Detrimental to Investing Interests
1941,7,Farm Paternalism Criticized
1942,12,Relief Loans Suggested
1943,17,Compulsory Training Opposed
1944,10,Carpenter Union Assails New Deal As 'Incapable' and Peril to Labor; Executive Board Adopts Hutcheson Statement Demanding Change at Polls -- Asks Survival of 'Free Enterprise'
1945,9,"EMPLOYERS URGED TO STUDY WORKES; Understanding of Individuals Needed to Cope With Union Trend, Dr. R. L. Lee Says"
1946,16,PATERNALISM HELD INFLATING BUDGET; City Bank's Business Review Sees Deflation Psychosis Threatening Economies
1947,11,AMERICAN SYSTEM SEEN THREATENED; Prentis Cites Lack of Business Interest in Education and Government Paternalism
1948,18,LAUDS BARGAINING FOR LABOR PEACE; Planning Group's Report Puts Emphasis on Advantage Over Paternalism
1949,36,LOCAL 'LIBERALISM' ASKED BY RICHBERG; He Urges a Coalition of Both Parties to Take Control Against 'Paternalism'
1950,22,"Not an Indian, But a White-Man Problem; More guidance and less paternalism is urged to alleviate poverty and ignorance of redmen. Not an Indian Problem"
1951,16,"INDIANS RETARDED, LA FARGE CHARGES; Federal Paternalism Prevents Realization of Full Status as Citizens, He Asserts Finds Discrimination Rising"
1952,8,"RURAL EDUCATORS WARNED ON POLICY; ' Simple Literacy and Manual Skills' No Longer Enough, Conference Here Is Told  PATERNALISM' IS SCORED N. E. A. Aide Urges Voice for Teachers, Pupils, Parents in School Administration"
1953,17,ECONOMIC CLIMATE DECLARED CHANGED; N.A.M. Spokesman Says Guard Must Be Kept Against New Drift Toward 'Socialism'
1954,9,PATERNALISM ASSAILED; Government Role Is Criticized by New Bar Group Head
1955,15,PROGRESS IN PERU
1956,12,Civil Liberties on the Campus; Guiding Principles College Papers
1957,9,"TRANSITION PERIOD SEEN; West Offering Fellowship to Ex-Colonies, Minister Says"
1958,13,THE TRUTH AND NOTHING BUT
1959,15,TOURE BARS TIES TO POWER BLOCS; Guinea President Tells U.N. Africa Will Not Succumb to East or West
1960,35,"PRESIDENT'S VIEW; In Talk to Boy Scouts, He Warned on Paternalism"
1961,19,NOT BEHOLDEN
1962,23,Los Alamos Now Tries 'Normalcy'; The birthplace of the atom bomb approaches a great transition--from paternalism to private ownership and the steed to learn to cope with the problems of ordinary towns. Los Alamos Tries 'Normalcy'
1963,16,STEVENSON TERMS U.S. PRESTIGE HIGH; Says Europe Also Is Gripped by 'New Frontier' Spirit
1964,16,CHURCH GROUP MAPS ATTACK ON POVERTY
1965,24,Idea of Paternalism Pervades Church
1966,35,Mediation at St. John's
1967,25,Four Continents--II: Africa
1968,40,Agnew Called Paternalistic
1969,38,Procaccino Holds Paternalism Is Lindsay Approach to Welfare
1970,37,Article 21 -- No Title
1971,30,Foe of Paternalism
1972,41,The Dangers of National Paternalism
1973,40,Paternalism for the Poor
1974,31,"U.S. Indians Press Drive To Get Independent Status; U. S. Indians, Led by Young Tribal Members, are Pressing Drive for Independent Statu~ New Official Expected More Freedom Indicated' Paternalism' Criticized Settlers Seize Land An Indian Replies Independence GrouP Aided A Goal of Leaders Other Suits Pending"
1975,32,The Animal Doctor
1976,28,"Fiat, as Run by the Agnellis, Is Progressve and Paternal"
1977,28,Mexico's Yaqui Indians Retain Strong Tribal Self-Government; Government Is Still Scared Each Run by a Governor Poverty Undermines Freedom
1978,11,"The Handicapped Are Emerging As a Vocal Political Action Group; Encouraged by Civil Rights Laws, They Exert Pressure for Broader Changes in Attitudes Hearing Aids on Phones Cost Is an Obstacle Airlines Under Attack Evoked Shocked Reactions Half of H.E.W. Complaints 'Incredible Paternalism'"
1979,22,2:27:33--and Waiting
1980,36,OUR NEW FRIENDS IN NICARAGUA
1981,24,MAKING DECISIONS FOR OTHERS
1982,12,THE SOUTH AFRICAN BLACK'S ADVANTAGE
1983,15,FRENCH LEFT CLAIMS VICTORY IN OVERSEAS VOTE
1984,27,Kemp Takes a Shot At Governor Cuomo
1985,18,RESISTING 'CENTRAL AMERICANIZATION'
1986,20,Asian Power and Paternalism
1987,22,WHAT COURTS SHOULD DO: 1905 DEBATE
1988,21,A BENEVOLENT AND BRUTAL PATERNALISM
1989,21,Looking to the Company To Provide the Necessities
1990,30,Racism Has Always Been an Economic Issue
1991,24,"For Indians, Casino Gambling Represents a Self-Help Program"
1992,20,No Evidence in Attack on Moon Church
1993,23,Why Women Need U.S. Estrogen Study
1994,20,Why a Haiti Invasion Still Makes Sense
1995,15,Abidjan Journal; No More Paternalism. But Public Executions?
1996,26,Justified Paternalism
1997,29,Breath of Clear Air
1998,16,INSIDE
1999,20,"On Campus Today, Boys Can't Be Boys"
2000,21,The Welch Mystique
2001,14,"Placebos, Healing And a Mother's Kiss"
2002,16,"Smoker No More, a Writer Repents"
2003,14,The Tug of Paternalism
2004,10,Seeking the Roots Of Abu Ghraib
2005,15,The Flaws In a Heart Device
2006,26,"The New, Soft Paternalism"
2007,30,"'Dexter' Draws Blood, Bigger Audiences"
2008,28,Russia: Medvedev Criticizes the West
2009,26,The Case Against Sunstein
2010,27,Laws to Restrict Abortion
2011,33,Pilot Paternalism
2012,23,Evolution in Conservation
2013,28,The Last Gasp of Thai Paternalism
2014,38,When Doctors Need to Lie
