year,count,article
1947,2,JAPANESE BALLOT FOR 46 GOVERNORS; Mayors of 5 Largest Cities Also Chosen in the First of This Month's Elections
1948,5,ASKS WOMEN AVOID MARTYR COMPLEX; Syracuse Dean Asserts Men Also Face Discriminations and Warns on Feminism
1949,3,THE ACHIEVEMENT OF VIRGINIA WOOLF; VIRGINIA WOOLF. By Bernard Blackstone. 255 pp. New York: Harcourt. Brace & Co. $3.75.
1950,4,Wry Note Given Feminism As Girl Drummer Faints
1951,3,RISING FEMINISM BEWILDERS EGYPT; DEMAND POLITICAL RIGHTS FOR WOMEN IN EGYPT
1952,5,"The Ladies Have a Turn; THE REVOLT OF AMERICAN WOMEN: A Pictorial History of the Century of Change From Bloomers to Bikinis -- From Feminism to Freud. By Oliver Jensen. Illustrated with photographs. 224 pp. New York: Harcourt, Brace & Co. $6."
1953,2,"Fearlessly Different; THE BOLD WOMEN. By Helen Beal Woodward. 373 pp. New York: Farrar, Straus & Young. $3.75. Different"
1954,0,
1955,2,"MOROCCAN WOMEN SPUR NATIONALISM; In the Movement They See Liberation, a Leader of Feminists Declares"
1956,4,"MRS. T.H. CLARKE, 78, WRITER ON FEMINISM"
1957,1,Books and Authors
1958,1,"Half-Remembered Yesterdays of a Restless Generation; The PERILS OF PROSPERITY, 1914-32. By William E. Leuchtenburg. 313 pp. Chicago: University of Chicago Press. $3.50."
1959,0,
1960,2,Honored Educator; George Nauman Shuster
1961,5,Italian Tribunal Rules Wife's Adultery Worse
1962,4,Woman in Japanese Parliament Proves the Experts Were Wrong
1963,3,Paperbacks in Review: A Woman's World
1964,0,
1965,5,Business Women's Clubs To Honor 2 as Outstanding
1966,4,Actress to Tie Nonprofit Tag to Free Plays Here; Johanna Setzer Will Stage More European Classics Troupe's Version of 'Faust Is Shown at Delacorte
1967,2,The Feminists Are On the March Once More
1968,8,The New Feminism
1969,5,NEW LONDON COMEDY ALL FOR FEMINISTS
1970,28,"You've come a long way, baby; Everyone Was Brave"
1971,19,The New Feminism; By Lucy Komisar. 181 pp. New York: Franklin Watts. $5.95.
1972,39,"At the U.N., Polite Feminism"
1973,45,"They're Black, So Feminism Has Even More Obstacles Than Usual"
1974,93,Feminism and Scholarship
1975,111,Feminism and Empress Farah Diba of Iran
1976,85,Letters To the Editor; Feminism
1977,97,"Feminism, Then and NOW"
1978,112,Books: Dated Feminism
1979,101,That Women Know Themselves; Gornick
1980,168,TV: Feminism Review
1981,123,"Diet, Fitness And Feminism"
1982,87,Fasting for Feminism
1983,89,Judaism and Feminism
1984,98,Limits of Feminism
1985,81,The Real Essence Of Feminism
1986,136,GENDER KEEPS CHANGING
1987,109,WHAT DO THEY WANT?
1988,117,Rewards in New Roles
1989,111,What Is It?
1990,133,Street-Fighting Woman
1991,119,No Architect Is an Island
1992,177,Feminism and the Wild Man
1993,126,A Feminism for All
1994,146,Backlash
1995,112,What Feminism Has Done in Workplace
1996,121,What Makes a Woman a Woman
1997,135,Feminism and Inclusion
1998,139,Lifting the Veil
1999,135,Liberties; Cowboy Feminism
2000,149,"Feminism in Art, With Respect"
2001,128,Not Ideal Feminism
2002,123,A Vegetarian Spot Where Feminism Is a Main Course
2003,96,A Tokyo Novelist Mixes Felonies With Feminism
2004,104,Feminism and Girl Chat
2005,121,"As Feminism Ages, Uncertainty Still Wins"
2006,148,What Feminism Is
2007,197,Passing Exchange Becomes Political Flashpoint Focused on Feminism
2008,197,A Knack for Putting Feminism on Film
2009,149,"Nancy Spero, Artist of Feminism, Is Dead at 83"
2010,171,Male Studies vs. Feminism
2011,154,Can Islamism and Feminism Mix?
2012,196,An Arm Wrestling League For Charity and Feminism
2013,183,Camping for Feminism
2014,255,Borat Scene: Feminism
